family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum
ba,100,196,2,4.0,3.92,0,3192658091,25,0,256,256,104,50,True,196,2726
ba,100,196,2,4.0,3.92,1,2678081474,28,0,247,247,100,48,True,196,2596
ba,100,196,2,4.0,3.92,2,2702236852,20,0,609,609,82,50,True,196,2904
ba,100,196,2,4.0,3.92,3,2238124534,33,0,456,456,109,44,True,196,2870
ba,100,196,2,4.0,3.92,4,3692290391,26,0,366,366,98,55,True,196,2660
ba,100,196,2,4.0,3.92,5,2812894824,29,0,374,374,92,44,True,196,2808
ba,100,196,2,4.0,3.92,6,2172498843,22,0,272,272,98,50,True,196,3006
ba,100,196,2,4.0,3.92,7,584437214,31,0,367,367,104,45,True,196,2782
ba,100,196,2,4.0,3.92,8,610860862,21,0,525,525,89,48,True,196,3224
ba,100,196,2,4.0,3.92,9,1872792671,23,0,234,234,96,43,True,196,3438
ba,100,196,2,4.0,3.92,10,367293505,21,0,202,202,92,51,True,196,3210
ba,100,196,2,4.0,3.92,11,2809719970,28,0,294,294,108,50,True,196,3056
ba,100,196,2,4.0,3.92,12,283536169,16,0,200,200,89,53,True,196,2648
ba,100,196,2,4.0,3.92,13,1093301167,27,0,310,310,93,45,True,196,3656
ba,100,196,2,4.0,3.92,14,3270413823,22,0,216,216,92,52,True,196,3022
ba,100,196,2,4.0,3.92,15,1404411457,29,0,515,515,104,46,True,196,2610
ba,100,196,2,4.0,3.92,16,878256810,28,0,983,983,106,48,True,196,2828
ba,100,196,2,4.0,3.92,17,978446212,22,0,227,227,99,52,True,196,2940
ba,100,196,2,4.0,3.92,18,2369439950,28,0,362,362,100,46,True,196,3018
ba,100,196,2,4.0,3.92,19,1368174590,30,0,436,436,92,44,True,196,2636
ba,100,196,2,4.0,3.92,20,684401762,27,0,510,510,107,52,True,196,3042
ba,100,196,2,4.0,3.92,21,212520015,27,0,615,615,90,46,True,196,3110
ba,100,196,2,4.0,3.92,22,3526829749,27,0,367,367,106,51,True,196,2678
ba,100,196,2,4.0,3.92,23,3951346562,32,0,504,504,108,47,True,196,2790
ba,100,196,2,4.0,3.92,24,342952829,22,0,197,197,93,47,True,196,2824
ba,100,196,2,4.0,3.92,25,236798297,23,0,487,487,97,43,True,196,2946
ba,100,196,2,4.0,3.92,26,669313313,27,0,296,296,97,50,True,196,3004
ba,100,196,2,4.0,3.92,27,2265977096,29,0,540,540,104,47,True,196,2660
ba,100,196,2,4.0,3.92,28,2174339728,26,0,526,526,93,48,True,196,2770
ba,100,196,2,4.0,3.92,29,1481687118,25,0,293,293,97,52,True,196,2740
ba,100,196,2,4.0,3.92,30,4122605355,27,0,473,473,97,46,True,196,3618
ba,100,196,2,4.0,3.92,31,3824063910,22,0,399,399,95,50,True,196,2804
ba,100,196,2,4.0,3.92,32,2312925925,27,0,343,343,103,53,True,196,2764
ba,100,196,2,4.0,3.92,33,2062270355,27,0,550,550,95,44,True,196,2968
ba,100,196,2,4.0,3.92,34,390594698,23,0,357,357,92,47,True,196,3058
ba,100,196,2,4.0,3.92,35,3023424607,27,0,579,579,105,50,True,196,3018
ba,100,196,2,4.0,3.92,36,1087516879,27,0,274,274,94,44,True,196,2776
ba,100,196,2,4.0,3.92,37,2689283193,41,0,333,333,116,44,True,196,3226
ba,100,196,2,4.0,3.92,38,1668200084,24,0,430,430,96,55,True,196,2650
ba,100,196,2,4.0,3.92,39,4177541658,25,0,296,296,94,43,True,196,2732
ba,200,396,2,4.0,3.96,0,1003675968,60,0,761,761,215,103,True,396,6242
ba,200,396,2,4.0,3.96,1,996005977,60,0,898,898,207,92,True,396,5990
ba,200,396,2,4.0,3.96,2,14528642,62,0,893,893,219,102,True,396,6476
ba,200,396,2,4.0,3.96,3,2070270201,58,0,847,847,197,92,True,396,6680
ba,200,396,2,4.0,3.96,4,683736777,48,0,934,934,187,105,True,396,6786
ba,200,396,2,4.0,3.96,5,3532920824,45,0,707,707,182,91,True,396,5340
ba,200,396,2,4.0,3.96,6,1052431515,64,0,1060,1060,222,104,True,396,6224
ba,200,396,2,4.0,3.96,7,3526714041,52,0,1038,1038,193,103,True,396,7100
ba,200,396,2,4.0,3.96,8,1444774477,47,0,618,618,188,104,True,396,6220
ba,200,396,2,4.0,3.96,9,1833802378,50,0,509,509,198,97,True,396,6712
ba,200,396,2,4.0,3.96,10,2958946509,53,0,934,934,191,96,True,396,5518
ba,200,396,2,4.0,3.96,11,389399865,51,0,912,912,200,102,True,396,7458
ba,200,396,2,4.0,3.96,12,378097005,49,0,1309,1309,185,92,True,396,6830
ba,200,396,2,4.0,3.96,13,4256324875,62,0,912,912,216,100,True,396,6756
ba,200,396,2,4.0,3.96,14,437890668,55,0,670,670,211,104,True,396,6974
ba,200,396,2,4.0,3.96,15,1372557374,49,0,1083,1083,191,101,True,396,6978
ba,200,396,2,4.0,3.96,16,3042407561,50,0,571,571,195,95,True,396,6684
ba,200,396,2,4.0,3.96,17,1810985096,54,0,1048,1048,192,92,True,396,6598
ba,200,396,2,4.0,3.96,18,2072395188,46,0,774,774,178,104,True,396,7270
ba,200,396,2,4.0,3.96,19,4222237429,58,0,1121,1121,196,97,True,396,8082
ba,200,396,2,4.0,3.96,20,1833143102,50,0,608,608,213,110,True,396,6862
ba,200,396,2,4.0,3.96,21,82973547,52,0,898,898,197,97,True,396,7268
ba,200,396,2,4.0,3.96,22,2261752791,57,0,903,903,199,105,True,396,6560
ba,200,396,2,4.0,3.96,23,1245570128,42,0,1234,1234,182,104,True,396,6580
ba,200,396,2,4.0,3.96,24,536723139,53,0,1310,1310,189,90,True,396,7036
ba,200,396,2,4.0,3.96,25,3871785583,46,0,785,785,193,103,True,396,6554
ba,200,396,2,4.0,3.96,26,1905310040,57,0,1559,1559,205,88,True,396,6002
ba,200,396,2,4.0,3.96,27,3208337840,52,0,1116,1116,195,97,True,396,7096
ba,200,396,2,4.0,3.96,28,3533358319,61,0,950,950,200,95,True,396,7330
ba,200,396,2,4.0,3.96,29,1758214837,61,0,846,846,204,90,True,396,5972
ba,200,396,2,4.0,3.96,30,2519841641,48,0,1019,1019,196,104,True,396,6378
ba,200,396,2,4.0,3.96,31,3203995300,47,0,802,802,204,97,True,396,7236
ba,200,396,2,4.0,3.96,32,1523101604,57,0,1345,1345,201,95,True,396,7358
ba,200,396,2,4.0,3.96,33,2966319148,50,0,1604,1604,195,99,True,396,6804
ba,200,396,2,4.0,3.96,34,4198558385,59,0,954,954,195,99,True,396,5988
ba,200,396,2,4.0,3.96,35,371524188,49,0,1144,1144,192,97,True,396,5724
ba,200,396,2,4.0,3.96,36,2825999704,66,0,666,666,212,84,True,396,6708
ba,200,396,2,4.0,3.96,37,2044360141,55,0,1010,1010,199,92,True,396,8070
ba,200,396,2,4.0,3.96,38,3500341589,56,0,934,934,203,99,True,396,6424
ba,200,396,2,4.0,3.96,39,1015904705,38,0,475,475,180,102,True,396,6196
ba,400,796,2,4.0,3.98,0,821468060,129,0,1818,1818,414,178,True,796,14426
ba,400,796,2,4.0,3.98,1,2479551438,107,0,3256,3256,414,201,True,796,13040
ba,400,796,2,4.0,3.98,2,3288533084,102,0,2772,2772,389,192,True,796,13704
ba,400,796,2,4.0,3.98,3,3140475187,105,0,1587,1587,388,198,True,796,14800
ba,400,796,2,4.0,3.98,4,1444640330,113,0,3374,3374,409,199,True,796,13700
ba,400,796,2,4.0,3.98,5,1490238719,105,0,2732,2732,390,200,True,796,13858
ba,400,796,2,4.0,3.98,6,3224267319,111,0,2877,2877,400,195,True,796,14676
ba,400,796,2,4.0,3.98,7,2923393555,110,0,2261,2261,392,190,True,796,14324
ba,400,796,2,4.0,3.98,8,2824139532,105,0,2584,2584,392,210,True,796,13272
ba,400,796,2,4.0,3.98,9,1706627902,94,0,1814,1814,376,204,True,796,15558
ba,400,796,2,4.0,3.98,10,971796804,135,0,2124,2124,429,190,True,796,13470
ba,400,796,2,4.0,3.98,11,386653831,99,0,2126,2126,404,197,True,796,14574
ba,400,796,2,4.0,3.98,12,2034456791,107,0,2166,2166,383,193,True,796,14370
ba,400,796,2,4.0,3.98,13,3131045406,105,0,2813,2813,383,191,True,796,15582
ba,400,796,2,4.0,3.98,14,1407095979,113,0,2462,2462,406,196,True,796,13714
ba,400,796,2,4.0,3.98,15,2921002403,119,0,2565,2565,403,186,True,796,16704
ba,400,796,2,4.0,3.98,16,610315262,116,0,2457,2457,392,182,True,796,13854
ba,400,796,2,4.0,3.98,17,1549835857,106,0,1779,1779,396,193,True,796,19432
ba,400,796,2,4.0,3.98,18,1949961856,111,0,2108,2108,402,201,True,796,16486
ba,400,796,2,4.0,3.98,19,1697832813,117,0,2278,2278,413,196,True,796,13294
ba,400,796,2,4.0,3.98,20,4044737064,108,0,1300,1300,390,196,True,796,16048
ba,400,796,2,4.0,3.98,21,3431104419,105,0,2557,2557,381,197,True,796,16634
ba,400,796,2,4.0,3.98,22,371839113,102,0,2415,2415,391,202,True,796,15088
ba,400,796,2,4.0,3.98,23,2238469425,104,0,1986,1986,391,207,True,796,13178
ba,400,796,2,4.0,3.98,24,2107586849,111,0,1638,1638,405,189,True,796,14842
ba,400,796,2,4.0,3.98,25,3643620076,115,0,2762,2762,402,189,True,796,13456
ba,400,796,2,4.0,3.98,26,1415456670,123,0,1993,1993,418,185,True,796,13678
ba,400,796,2,4.0,3.98,27,2426495746,129,0,2084,2084,421,204,True,796,18150
ba,400,796,2,4.0,3.98,28,1354807029,112,0,2008,2008,405,198,True,796,14144
ba,400,796,2,4.0,3.98,29,1483448387,126,0,3039,3039,424,192,True,796,15496
ba,400,796,2,4.0,3.98,30,2489932729,108,0,2107,2107,403,197,True,796,14722
ba,400,796,2,4.0,3.98,31,3476011746,107,0,2557,2557,393,196,True,796,15004
ba,400,796,2,4.0,3.98,32,2195378454,112,0,1793,1793,402,200,True,796,14434
ba,400,796,2,4.0,3.98,33,3211438704,112,0,1786,1786,392,184,True,796,15082
ba,400,796,2,4.0,3.98,34,1523829642,121,0,2165,2165,405,197,True,796,16054
ba,400,796,2,4.0,3.98,35,1639592043,105,0,1830,1830,398,210,True,796,17390
ba,400,796,2,4.0,3.98,36,771642239,94,0,2048,2048,372,186,True,796,14928
ba,400,796,2,4.0,3.98,37,2979774892,107,0,2248,2248,400,199,True,796,13556
ba,400,796,2,4.0,3.98,38,3059234543,125,0,2346,2346,402,191,True,796,14232
ba,400,796,2,4.0,3.98,39,2288380969,120,0,2056,2056,422,196,True,796,16524
ba,800,1596,2,4.0,3.99,0,3346547608,215,0,6155,6155,776,377,True,1596,30584
ba,800,1596,2,4.0,3.99,1,4155890042,209,0,4985,4985,797,397,True,1596,32696
ba,800,1596,2,4.0,3.99,2,4052778059,207,0,5687,5687,774,387,True,1596,30096
ba,800,1596,2,4.0,3.99,3,4024218690,229,0,4982,4982,791,386,True,1596,30550
ba,800,1596,2,4.0,3.99,4,3295912218,195,0,6455,6455,761,410,True,1596,33046
ba,800,1596,2,4.0,3.99,5,189800506,217,0,8473,8473,796,403,True,1596,32966
ba,800,1596,2,4.0,3.99,6,3268274620,212,0,6334,6334,794,406,True,1596,34232
ba,800,1596,2,4.0,3.99,7,2950717998,222,0,8232,8232,790,397,True,1596,38030
ba,800,1596,2,4.0,3.99,8,3789402260,240,0,4693,4693,820,387,True,1596,31102
ba,800,1596,2,4.0,3.99,9,25889681,217,0,6712,6712,800,392,True,1596,31900
ba,800,1596,2,4.0,3.99,10,2741171628,215,0,5217,5217,791,398,True,1596,32312
ba,800,1596,2,4.0,3.99,11,887876190,224,0,4370,4370,793,374,True,1596,35118
ba,800,1596,2,4.0,3.99,12,608164229,215,0,4881,4881,802,408,True,1596,31866
ba,800,1596,2,4.0,3.99,13,2320453399,228,0,5945,5945,808,406,True,1596,35614
ba,800,1596,2,4.0,3.99,14,4093322373,224,0,5377,5377,804,392,True,1596,32494
ba,800,1596,2,4.0,3.99,15,4186519048,229,0,4006,4006,813,396,True,1596,35256
ba,800,1596,2,4.0,3.99,16,1093553302,215,0,4571,4571,796,393,True,1596,35288
ba,800,1596,2,4.0,3.99,17,2020518982,200,0,4107,4107,769,381,True,1596,33912
ba,800,1596,2,4.0,3.99,18,1763918028,202,0,5954,5954,811,389,True,1596,32436
ba,800,1596,2,4.0,3.99,19,2419205997,217,0,4350,4350,803,394,True,1596,37570
ba,800,1596,2,4.0,3.99,20,660585261,232,0,4606,4606,816,388,True,1596,28936
ba,800,1596,2,4.0,3.99,21,613906894,212,0,6736,6736,792,383,True,1596,30366
ba,800,1596,2,4.0,3.99,22,2335594255,224,0,5940,5940,837,402,True,1596,34692
ba,800,1596,2,4.0,3.99,23,1574520964,227,0,5471,5471,793,385,True,1596,30604
ba,800,1596,2,4.0,3.99,24,3268134568,217,0,5506,5506,814,382,True,1596,42472
ba,800,1596,2,4.0,3.99,25,1546626118,222,0,4601,4601,772,377,True,1596,30142
ba,800,1596,2,4.0,3.99,26,1808683876,238,0,4986,4986,823,407,True,1596,32790
ba,800,1596,2,4.0,3.99,27,734313323,218,0,4359,4359,797,395,True,1596,37588
ba,800,1596,2,4.0,3.99,28,2039310497,212,0,3234,3234,752,381,True,1596,30020
