family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum,max_degree,threshold_h,weight_w,excess_x0,parity_epsilon,threshold_activation_count,relaxation_bound,high_palette
ba,100,196,2,4.0,3.92,27,2265977096,29,0,540,540,104,47,True,196,2660,18,91,9,13,0,19,1431.06018981,False
ba,100,196,2,4.0,3.92,28,2174339728,26,0,526,526,93,48,True,196,2770,20,91,10,2,1,1,1333.33333333,False
ba,100,196,2,4.0,3.92,29,1481687118,25,0,293,293,97,52,True,196,2740,23,90,12,7,0,8,1555.71428571,False
ba,100,196,2,4.0,3.92,30,4122605355,27,0,473,473,97,46,True,196,3618,36,88,18,9,1,10,3745.12311218,False
ba,100,196,2,4.0,3.92,31,3824063910,22,0,399,399,95,50,True,196,2804,27,89,14,6,0,13,1715,False
ba,100,196,2,4.0,3.92,32,2312925925,27,0,343,343,103,53,True,196,2764,20,91,10,12,0,10,1551.60533911,False
ba,100,196,2,4.0,3.92,33,2062270355,27,0,550,550,95,44,True,196,2968,23,89,12,6,0,16,1470,False
ba,100,196,2,4.0,3.92,34,390594698,23,0,357,357,92,47,True,196,3058,32,87,16,5,1,6,2859.68253968,False
ba,100,196,2,4.0,3.92,35,3023424607,27,0,579,579,105,50,True,196,3018,26,90,13,15,1,14,3036.6344246,False
ba,100,196,2,4.0,3.92,36,1087516879,27,0,274,274,94,44,True,196,2776,25,90,13,4,0,9,1354.16666667,False
ba,100,196,2,4.0,3.92,37,2689283193,41,0,333,333,116,44,True,196,3226,29,89,15,27,1,58,3944.55302568,False
ba,100,196,2,4.0,3.92,38,1668200084,24,0,430,430,96,55,True,196,2650,17,89,9,7,1,23,1759.62037962,False
ba,100,196,2,4.0,3.92,39,4177541658,25,0,296,296,94,43,True,196,2732,24,89,12,5,0,6,1370,False
ba,200,396,2,4.0,3.96,0,1003675968,60,0,761,761,215,103,True,396,6242,29,182,15,33,1,61,8190.08376412,False
ba,200,396,2,4.0,3.96,1,996005977,60,0,898,898,207,92,True,396,5990,30,181,15,26,1,34,7832.50227777,False
ba,200,396,2,4.0,3.96,2,14528642,62,0,893,893,219,102,True,396,6476,39,181,20,38,0,54,8455.80402659,False
ba,200,396,2,4.0,3.96,3,2070270201,58,0,847,847,197,92,True,396,6680,30,181,15,16,0,20,5071.09348984,False
