family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
ws,100,5,8.0,40,32.625,1937.75515432075,8.45,10.45,0.7240000000000005,0.011312500000000008,59.39479400216859,0.016836492436752767
ws,100,5,12.0,40,16.8,2312.50012124175,12.15,14.95,1.1379999999999995,0.007902777777777776,137.64881674058034,0.007264864483976266
ws,100,5,16.0,40,10.15,2848.2171798374998,15.825,19.05,1.4180000000000006,0.005539062500000002,280.6125300332512,0.0035636327425632238
ws,100,8,4.0,40,180.95,1164.80244197215,6.05,6.075,0.3810000000000001,0.023812500000000007,6.437150826041172,0.15534823200888037
ws,100,8,8.0,40,14.975,1730.4402334165,9.3,10.3,0.7695000000000007,0.012023437500000012,115.55527435168614,0.008653867212988954
ws,100,8,12.0,40,20.975,2661.2984579920003,13.775,14.925,1.1170000000000015,0.007756944444444455,126.87954507709178,0.007881491058250577
ws,100,8,16.0,40,12.9,3508.835818222,17.425,19.425,1.4529999999999987,0.005675781249999995,272.0027766063566,0.0036764330587963213
ws,200,2,4.0,40,21.8,1067.980432651525,3.15,6.1,0.3812499999999999,0.023828124999999995,48.98992810328096,0.020412359003503577
ws,200,2,8.0,40,21.575,2254.15150105775,5.775,10.8,0.7765000000000004,0.012132812500000006,104.47979147428737,0.009571228903592341
ws,200,2,12.0,40,15.95,2975.040828926,7.975,15.15,1.1025000000000005,0.007656250000000005,186.5229359828213,0.0053612709596856205
ws,200,2,16.0,40,21.7,4022.98246183875,10.1,19.725,1.5234999999999956,0.005951171874999983,185.39089685892858,0.005394008103649988
ws,200,3,4.0,40,45.2,1943.0144636905,4.125,6.1,0.3775000000000004,0.023593750000000024,42.98704565686946,0.023262822199557154
ws,200,3,8.0,40,42.7,3890.9062673515,7.7,10.825,0.7842500000000004,0.012253906250000007,91.1219266358665,0.01097430702926325
ws,200,3,12.0,40,19.0,4423.3496374735,10.45,15.375,1.1167499999999984,0.007755208333333321,232.8078756565,0.004295387332494995
ws,200,3,16.0,40,19.775,6207.801157625,13.75,19.9,1.5597499999999969,0.006092773437499988,313.92167674462706,0.0031855079597242738
ws,200,4,4.0,40,17.4,2044.4311886029998,5.15,6.2,0.3804999999999999,0.023781249999999993,117.4960453220115,0.008510924748653323
ws,200,4,8.0,40,21.05,3707.8527819180003,8.725,10.85,0.7347499999999997,0.011480468749999995,176.14502526926367,0.005677140177370053
ws,200,4,12.0,40,22.15,5595.4463779445005,12.0,15.275,1.1167499999999997,0.007755208333333331,252.61608929772012,0.0039585760462844165
ws,200,4,16.0,40,16.725,6492.696774285,15.075,19.575,1.4382499999999965,0.005618164062499986,388.20309562242153,0.0025759712152646805
ws,200,5,4.0,40,171.475,2848.2977724212496,5.1,6.1,0.3770000000000001,0.023562500000000007,16.61057164263741,0.06020262405859146
ws,200,5,8.0,40,62.1,4522.670436119,8.8,10.8,0.7522499999999998,0.011753906249999996,72.82883149950081,0.013730825820085474
ws,200,5,12.0,40,30.275,6028.134402109999,12.275,15.175,1.1689999999999998,0.008118055555555555,199.11261443798512,0.0050222835093728145
ws,200,5,16.0,40,16.225,6878.438258129,16.225,19.85,1.5679999999999978,0.0061249999999999916,423.9407246920801,0.0023588203297202166
ws,200,8,4.0,40,439.3,2722.62368008875,6.075,6.075,0.3695000000000004,0.023093750000000024,6.1976409744792855,0.16135171496990727
ws,200,8,8.0,40,27.4,4111.9421213685,9.675,10.675,0.7614999999999987,0.01189843749999998,150.07088034191608,0.00666351791714446
ws,200,8,12.0,40,46.625,6551.899396951,14.0,15.25,1.1355000000000004,0.007885416666666669,140.52331146275603,0.007116257008112406
ws,200,8,16.0,40,21.425,8141.00875035475,17.725,19.725,1.4814999999999998,0.005787109374999999,379.9770711950875,0.002631737743687647
ws,400,2,4.0,40,39.675,2803.9237817407497,3.3,6.3,0.3806250000000004,0.023789062500000024,70.67230703820415,0.014149814006487977
ws,400,2,8.0,40,45.525,5855.97230820025,5.9,11.125,0.7448749999999997,0.011638671874999996,128.6320111631027,0.007774114631015299
ws,400,2,12.0,40,36.65,7520.480291276499,8.15,15.575,1.1229999999999998,0.007798611111111109,205.1972794345566,0.004873358958537894
ws,400,2,16.0,40,32.75,8866.704955982,10.325,20.25,1.510499999999999,0.005900390624999996,270.7390826254046,0.003693593072351519
